LINE_UNIQUE_ID,population,family_baseline_mate_selection,modelA_individual_prediction,within_family_deviation,final_predicted_yield_advantage,predicted_lower_68pct,predicted_upper_68pct,predicted_lower_95pct,predicted_upper_95pct,confidence_tier,rank,percentile
C1.398.15,C1.398,15.834299087524414,19.217642,6.1276407,21.96194,11.041941,32.881943,0.5587406,43.365143,Medium,1,100.0
C1.398.110,C1.398,15.834299087524414,18.847921,5.7579203,21.59222,10.67222,32.512222,0.18902016,42.995422,Medium,2,99.98654467169
C1.398.121,C1.398,15.834299087524414,18.832193,5.7421923,21.576492,10.656492,32.49649,0.17329216,42.97969,Medium,3,99.97308934337998
C1.398.44,C1.398,15.834299087524414,18.560793,5.470792,21.305092,10.385092,32.22509,-0.09810829,42.70829,Medium,4,99.95963401506997
C1.398.103,C1.398,15.834299087524414,18.084251,4.9942503,20.828548,9.908548,31.748549,-0.5746517,42.23175,Medium,5,99.94617868675995
C1.398.56,C1.398,15.834299087524414,17.985117,4.895116,20.729416,9.809416,31.649416,-0.67378426,42.132614,Medium,6,99.93272335844995
C1.398.71,C1.398,15.834299087524414,17.3346,4.2445993,20.0789,9.158899,30.9989,-1.3243008,41.4821,Medium,7,99.91926803013995
C1.427.28,C1.427,10.356902122497559,15.325949,8.848998,19.2059,8.2859,30.1259,-2.1973,40.6091,Medium,8,99.90581270182992
C1.398.119,C1.398,15.834299087524414,16.432165,3.342164,19.176464,8.256464,30.096464,-2.226736,40.579666,Medium,9,99.89235737351991
C1.398.122,C1.398,15.834299087524414,16.301205,3.2112036,19.045502,8.125502,29.965502,-2.3576984,40.4487,Medium,10,99.87890204520991
C1.398.115,C1.398,15.834299087524414,16.16132,3.0713186,18.905617,7.9856167,29.825617,-2.4975834,40.308815,Medium,11,99.8654467168999
C1.398.4,C1.398,15.834299087524414,16.075426,2.985425,18.819725,7.899725,29.739725,-2.583475,40.222923,Medium,12,99.85199138858988
C1.398.108,C1.398,15.834299087524414,15.821907,2.731906,18.566204,7.646204,29.486204,-2.836996,39.969406,Medium,13,99.83853606027986
C1.398.102,C1.398,15.834299087524414,15.751017,2.6610155,18.495316,7.5753155,29.415316,-2.9078846,39.898514,Medium,14,99.82508073196986
C1.398.78,C1.398,15.834299087524414,15.699923,2.6099215,18.444221,7.5242214,29.364222,-2.9589787,39.84742,Medium,15,99.81162540365986
C1.398.123,C1.398,15.834299087524414,15.657106,2.5671053,18.401405,7.4814053,29.321405,-3.0017948,39.804604,Medium,16,99.79817007534983
C1.398.66,C1.398,15.834299087524414,15.520391,2.4303904,18.26469,7.3446903,29.18469,-3.1385098,39.667892,Medium,17,99.78471474703983
C1.398.76,C1.398,15.834299087524414,15.505098,2.4150972,18.249397,7.329397,29.169397,-3.1538029,39.652596,Medium,18,99.77125941872981
C1.398.61,C1.398,15.834299087524414,15.475121,2.3851194,18.219418,7.2994175,29.139418,-3.1837826,39.62262,Medium,19,99.75780409041981
C1.398.58,C1.398,15.834299087524414,15.335314,2.2453127,18.079613,7.1596127,28.999613,-3.3235874,39.48281,Medium,20,99.7443487621098
C1.398.105,C1.398,15.834299087524414,15.322779,2.2327776,18.067078,7.1470776,28.987078,-3.3361225,39.470276,Medium,21,99.73089343379978
C1.398.97,C1.398,15.834299087524414,15.26325,2.1732492,18.00755,7.087549,28.92755,-3.3956509,39.41075,Medium,22,99.71743810548978
C1.398.92,C1.398,15.834299087524414,15.183748,2.0937471,17.928047,7.008047,28.848047,-3.475153,39.331245,Medium,23,99.70398277717976
C1.398.23,C1.398,15.834299087524414,15.177347,2.087346,17.921646,7.001646,28.841646,-3.481554,39.324844,Medium,24,99.69052744886974
C1.398.48,C1.398,15.834299087524414,15.117472,2.0274706,17.86177,6.9417706,28.78177,-3.5414295,39.26497,Medium,25,99.67707212055974
