LINE_UNIQUE_ID,population,family_baseline_mate_selection,modelA_individual_prediction,within_family_deviation,final_predicted_yield_advantage,predicted_lower_68pct,predicted_upper_68pct,predicted_lower_95pct,predicted_upper_95pct,confidence_tier,rank,percentile
C9.8.33,C9.8,3.1080639362335205,5.661073,2.9477525,6.0558167,-3.625761,15.737394,-12.920076,25.03171,High,1,100.0
C9.8.14,C9.8,3.1080639362335205,4.7415257,2.028205,5.1362686,-4.545309,14.817846,-13.839624,24.112162,High,2,98.75
C9.8.38,C9.8,3.1080639362335205,4.6323047,1.9189839,5.027048,-4.6545296,14.708626,-13.948845,24.002941,High,3,97.5
C9.8.35,C9.8,3.1080639362335205,3.9392688,1.2259481,4.334012,-5.3475657,14.01559,-14.641881,23.309906,High,4,96.25
C9.8.29,C9.8,3.1080639362335205,3.7669165,1.0535958,4.1616597,-5.519918,13.843237,-14.814234,23.137552,High,5,95.0
C9.8.9,C9.8,3.1080639362335205,3.7526839,1.0393631,4.147427,-5.5341506,13.829004,-14.828466,23.12332,High,6,93.75
C9.8.34,C9.8,3.1080639362335205,3.7179308,1.0046101,4.1126738,-5.568904,13.794251,-14.863219,23.088566,High,7,92.5
C9.8.11,C9.8,3.1080639362335205,3.6003506,0.8870299,3.9950938,-5.686484,13.676672,-14.980799,22.970987,High,8,91.25
C9.8.19,C9.8,3.1080639362335205,3.4861674,0.7728467,3.8809106,-5.800667,13.562489,-15.094982,22.856804,High,9,90.0
C9.8.15,C9.8,3.1080639362335205,3.4275074,0.71418667,3.8222506,-5.8593273,13.503828,-15.153643,22.798143,High,10,88.75
C9.8.25,C9.8,3.1080639362335205,3.421074,0.7077532,3.815817,-5.865761,13.497395,-15.160076,22.79171,High,11,87.5
C9.8.18,C9.8,3.1080639362335205,3.409033,0.6957123,3.8037763,-5.8778014,13.485353,-15.172117,22.779669,High,12,86.25
C9.8.26,C9.8,3.1080639362335205,3.2936919,0.58037114,3.688435,-5.9931426,13.370012,-15.287458,22.664328,High,13,85.0
C9.8.17,C9.8,3.1080639362335205,3.2400608,0.5267401,3.634804,-6.046774,13.316381,-15.341089,22.610697,High,14,83.75
C9.8.20,C9.8,3.1080639362335205,3.0585194,0.34519863,3.4532626,-6.2283154,13.13484,-15.522631,22.429155,High,15,82.5
C9.8.13,C9.8,3.1080639362335205,3.0487065,0.3353858,3.4434497,-6.2381277,13.125028,-15.532443,22.419342,High,16,81.25
C9.8.6,C9.8,3.1080639362335205,3.0391362,0.32581544,3.4338794,-6.2476983,13.115458,-15.542013,22.409773,High,17,80.0
C9.8.40,C9.8,3.1080639362335205,2.889199,0.17587829,3.2839422,-6.3976355,12.96552,-15.691951,22.259834,High,18,78.75
C9.8.21,C9.8,3.1080639362335205,2.81417,0.10084915,3.208913,-6.472665,12.890491,-15.76698,22.184807,High,19,77.5
C9.8.36,C9.8,3.1080639362335205,2.7714674,0.058146715,3.1662107,-6.515367,12.847788,-15.809683,22.142103,High,20,76.25
C9.8.22,C9.8,3.1080639362335205,2.7688992,0.05557847,3.1636424,-6.5179353,12.845221,-15.81225,22.139536,High,21,75.0
C9.8.23,C9.8,3.1080639362335205,2.7595427,0.04622197,3.154286,-6.527292,12.835863,-15.821608,22.130178,High,22,73.75
C9.8.5,C9.8,3.1080639362335205,2.6963665,-0.016954184,3.0911098,-6.590468,12.772688,-15.884783,22.067003,High,23,72.5
C9.16.20,C9.16,0.33440327644348145,2.9922225,2.6481574,2.9825606,-6.699017,12.664139,-15.993332,21.958454,High,24,71.25
C9.16.1,C9.16,0.33440327644348145,2.9561188,2.6120536,2.946457,-6.735121,12.628035,-16.029436,21.92235,High,25,70.0
C9.8.32,C9.8,3.1080639362335205,2.5066123,-0.20670843,2.9013555,-6.780222,12.582933,-16.074537,21.877249,High,26,68.75
C9.8.12,C9.8,3.1080639362335205,2.3710449,-0.34227586,2.765788,-6.9157896,12.447366,-16.210106,21.74168,High,27,67.5
C9.8.1,C9.8,3.1080639362335205,2.3520334,-0.36128736,2.7467766,-6.934801,12.428354,-16.229116,21.72267,High,28,66.25
C9.8.10,C9.8,3.1080639362335205,2.3513725,-0.36194825,2.7461157,-6.935462,12.427693,-16.229778,21.722008,High,29,65.0
C9.16.9,C9.16,0.33440327644348145,2.7091243,2.3650591,2.6994624,-6.9821153,12.381041,-16.27643,21.675356,High,30,63.74999999999999
