YEAR,LOC,X04_PRCP,X05_PRCP,X06_PRCP,X07_PRCP,X08_PRCP,X09_PRCP,X10_PRCP,X04_TAVG,X05_TAVG,X06_TAVG,X07_TAVG,X08_TAVG,X09_TAVG,X10_TAVG,X04_DP01,X05_DP01,X06_DP01,X07_DP01,X08_DP01,X09_DP01,X10_DP01,X04_DP10,X05_DP10,X06_DP10,X07_DP10,X08_DP10,X09_DP10,X10_DP10,X04_HTDD,X05_HTDD,X06_HTDD,X07_HTDD,X08_HTDD,X09_HTDD,X10_HTDD,X04_CLDD,X05_CLDD,X06_CLDD,X07_CLDD,X08_CLDD,X09_CLDD,X10_CLDD,cfvo_0_5cm,cfvo_5_15cm,cfvo_15_30cm,cfvo_30_60cm,cfvo_60_100cm,cfvo_100_200cm,clay_0_5cm,clay_5_15cm,clay_15_30cm,clay_30_60cm,clay_60_100cm,clay_100_200cm,silt_0_5cm,silt_5_15cm,silt_15_30cm,silt_30_60cm,silt_60_100cm,silt_100_200cm,nitrogen_0_5cm,nitrogen_5_15cm,nitrogen_15_30cm,nitrogen_30_60cm,nitrogen_60_100cm,nitrogen_100_200cm,sand_0_5cm,sand_5_15cm,sand_15_30cm,sand_30_60cm,sand_60_100cm,sand_100_200cm,phh2o_0_5cm,phh2o_5_15cm,phh2o_15_30cm,phh2o_30_60cm,phh2o_60_100cm,phh2o_100_200cm,soc_0_5cm,soc_5_15cm,soc_15_30cm,soc_30_60cm,soc_60_100cm,soc_100_200cm
2001,SDEP,93.1,80.8,49.2,97.4,55.6,89.4,19.3,9.098235294,15.30058824,20.31882353,22.75235294,22.87882353,18.00411765,11.12294118,10,14,9,10,4,6,2,6,8,7,8,3,5,2,277.7058824,124.2764706,24.95294118,3.264705882,4.088235294,61.04117647,231.6294118,6.211764706,31.00588235,84.40588235,139.6,138.5882353,52.64117647,7.111764706,5,3,3,8,12,21,388,393,366,351,360,347,421,420,433,432,409,400,267,181,132,101,59,43,191,187,201,217,231,253,69,69,71,74,78,79,292,190,124,74,46,27
2002,SDEP,77.5,74.4,54.7,46.3,180.7,23.9,67.9,9.541764706,15.84941176,21.53117647,24.16117647,21.98352941,18.17058824,10.89058824,8,10,6,3,12,6,11,6,7,4,2,11,3,10,271.6117647,111.8294118,13.62352941,2.441176471,12.92941176,56.95882353,231.6294118,9.205882353,35.72352941,108.5764706,179.4235294,132.0058824,51.51176471,13.62352941,5,3,3,8,12,21,388,393,366,351,360,347,421,420,433,432,409,400,267,181,132,101,59,43,191,187,201,217,231,253,69,69,71,74,78,79,292,190,124,74,46,27
2003,SDEP,80.3,96.6,162.2,30.5,19.1,197.1,17,9.234117647,14.83941176,20.53647059,23.44470588,22.76647059,18.62588235,11.50117647,8,10,8,5,3,5,1,5,9,7,3,2,5,1,270.9705882,126.0705882,19.10588235,2.941176471,3.629411765,53.21176471,224.0352941,3.935294118,19.41176471,85.44117647,158.0411765,135.5294118,50.97647059,10.87647059,5,3,3,8,12,21,388,393,366,351,360,347,421,420,433,432,409,400,267,181,132,101,59,43,191,187,201,217,231,253,69,69,71,74,78,79,292,190,124,74,46,27
2004,SDEP,61.8,157,80.8,40.8,43.2,118.9,50.04117647,9.372352941,14.95941176,20.10705882,23.00470588,22.22176471,18.14764706,11.17058824,7,10,7,5,6,6,6.470588235,5,9,7,3,4,5,4.176470588,271.5235294,125.0941176,26.87647059,5.447058824,6.429411765,65.21176471,213.1235294,5.617647059,21.61764706,80.33529412,148.0058824,125.4176471,51.2,9.017647059,5,3,3,8,12,21,388,393,366,351,360,347,421,420,433,432,409,400,267,181,132,101,59,43,191,187,201,217,231,253,69,69,71,74,78,79,292,190,124,74,46,27
2005,SDEP,103.9,92.7,165.2,84.9,76.7,136.7,18.5,10.72647059,15.29823529,20.86294118,23.63529412,22.22058824,19.14647059,11.54294118,5,8,11,4,6,13,4,5,5,11,4,6,8,4,228.9764706,123.1176471,19.56470588,2.988235294,4.052941176,46.86470588,224.7294118,6.547058824,30.17647059,92.98823529,162.3647059,127.1647059,44.92352941,19.49411765,5,3,3,8,12,21,388,393,366,351,360,347,421,420,433,432,409,400,267,181,132,101,59,43,191,187,201,217,231,253,69,69,71,74,78,79,292,190,124,74,46,27
2006,IALI,100.7,56.4,20.6,128.7,166.6,92.07058824,67.27647059,11.5,16.28,21.94,24.31,22.14,17.34352941,11.12764706,10,12,12,11,14,12,8.235294118,6,6,3,7,13,7,4.823529412,206.8,103.5,11.1,0,3,65.12352941,239.2705882,1.7,41.3,119.4,185.2,120.9,19.3,5.658823529,8,8,8,10,15,19,419,420,422,420,404,398,483,482,477,473,482,472,309,243,176,126,93,65,98,98,101,107,114,130,65,65,66,68,70,76,305,235,160,107,42,19
2007,IALI,106.7117647,141.9,113.0058824,116.1705882,116.9,93.24705882,61.99411765,10.11764706,15.54529412,21.2,23.29294118,21.51529412,16.79294118,11.66470588,9.352941176,11.94117647,11.11764706,9.764705882,9.941176471,8.529411765,6.882352941,6.823529412,7.764705882,6.764705882,6.470588235,7.352941176,5.411764706,4,248.7823529,112.2,9.764705882,0.905882353,8.164705882,78.74117647,208.7294118,5.182352941,26.66470588,95.5,153.9823529,106.7,44.25294118,3.264705882,8,8,8,10,15,19,419,420,422,420,404,398,483,482,477,473,482,472,309,243,176,126,93,65,98,98,101,107,114,130,65,65,66,68,70,76,305,235,160,107,42,19
2008,IALI,126.9,192.1,196.1,182.1,24.1,160.1882353,48.23529412,6.58,13.93,20.95,23.16,21.29,17.30882353,10.81882353,14,14,13,16,5,9,5.882352941,9,8,7,13,3,7,3.941176471,352.6,142.7,1.1,0,1.4,72.26470588,228.7882353,0,6.2,79.6,149.7,93.1,35.1,3.617647059,8,8,8,10,15,19,419,420,422,420,404,398,483,482,477,473,482,472,309,243,176,126,93,65,98,98,101,107,114,130,65,65,66,68,70,76,305,235,160,107,42,19
2007,MNHE,77.25294118,88.86470588,123.5823529,75.15294118,94.54117647,92.78235294,45.31176471,7.398235294,13.34058824,19.72882353,22.32352941,20.75470588,16.78647059,10.43588235,8.058823529,10.58823529,11.88235294,8,8.588235294,9.352941176,5.882352941,5.588235294,7,8.352941176,5.882352941,5.117647059,6.058823529,3.529411765,325.0705882,164.9176471,20.60588235,2.558823529,11.64705882,86.03529412,245.8235294,1.129411765,11.83529412,62.06470588,124.0705882,85.85294118,32.03529412,7.1,33,33,34,40,49,62,365,376,383,381,358,363,438,431,429,431,446,444,407,256,224,152,159,139,197,193,188,188,196,193,69,70,70,72,76,78,422,331,258,143,105,75
2008,MNHE,81.5,68.5,100.8,90.7,66,73.2,59.62352941,4.94,12.16,18.51,21.56,20.09,17.49941176,9.945882353,6,8,8,7,4,5,7.411764706,5,7,6,6,4,5,4.705882353,401.8,193.6,24.2,3.4,7.5,66.98235294,257.3647059,0,2.2,29.4,103.5,59.6,17.8,5.376470588,33,33,34,40,49,62,365,376,383,381,358,363,438,431,429,431,446,444,407,256,224,152,159,139,197,193,188,188,196,193,69,70,70,72,76,78,422,331,258,143,105,75
2008,MNKA,136.3,103.3,137.7,55.2,86.3,53.9,51.5,5.13,11.44,18.16,20.85,20.52823529,17.19117647,9.526470588,12,9,13,7,10,8,12,10,5,9,5,4,6,5,369.6,200,24.5,1.7,7.370588235,66.43529412,323.6,0,0,19.8,72.4,74.65294118,24.38235294,2,11,12,12,19,45,76,211,217,217,229,237,209,557,553,557,529,373,377,483,246,154,68,40,46,232,229,226,242,390,413,62,62,60,60,61,71,438,279,201,140,80,53
2007,NCFV,108.1,86.1,70.7,59.4,87.2,100.3470588,65.63529412,15.76,19.92,25.07,26.3,27.96,21.25941176,11.90176471,6,9,8,6,8,5,8.235294118,2,8,3,6,4,4,4.823529412,120.3,25.1,0,0,0,27.2,178.5058824,43,74.3,202.1,247.1,298.5,156.4,27.62941176,14.27247956,13.9373297,13.93051771,16.05040872,24.30517711,34.18256131,288.0217984,290.972752,305.8978202,319.5490463,316.2152589,288.8964578,487.5762943,485.9918256,476.1103542,465.5776567,448.5517711,431.5435967,454.619891,233.9114441,172.1553134,122.5776567,96.49182561,79.87874659,224.3719346,223.0122616,217.9564033,214.866485,235.1716621,279.5762943,63.57629428,63.73978202,63.69209809,64.5599455,67.00953678,70.52179837,384.1839237,223.3501362,153.9768392,102.3841962,59.81743869,44.06811989
2000,MOHA,13.5,81.3,218.7,94.28823529,7.1,117.2,97.6,14.14,21.13,22.69,25.64117647,24.90529412,21.28,15.83,8,8,14,9.058823529,2,7,10,2,5,7,6.470588235,2,7,5,124.2,18.1,4.7,0.423529412,1.047058824,30.5,89.5,9.7,102.9,128.9,218.3529412,199.5294118,111.5,14.9,32,28,30,30,30,34,311,302,353,397,397,397,641,654,609,568,569,560,351,233,143,103,76,60,48,45,38,35,34,43,62,63,64,64,66,68,349,227,121,88,47,25
2001,MOHA,77.83529412,90.5,99.15294118,112.5,13.5,160.4,58.87058824,16.9,20.25,23.66,27.72,24.79,18.9,11.95705882,8.235294118,11,10.41176471,9,3,9,7.764705882,5.058823529,8,6.588235294,7,2,9,4.470588235,84.2,20,1.770588235,0,2.9,33.6,176.8588235,40.3,75.9,157.7941176,241.9,202.7588235,44.7,15.32352941,32,28,30,30,30,34,311,302,353,397,397,397,641,654,609,568,569,560,351,233,143,103,76,60,48,45,38,35,34,43,62,63,64,64,66,68,349,227,121,88,47,25
2002,MOHA,88.1,168.6,18.9,18.9,95.2,79.01764706,65.18235294,14.19,17.57,26.45,28.74,26.6,19.82117647,11.47,8,13,4,6,9,6,8,7,10,2,1,3,3,5.411764706,141.6,65.2,0,0,0.3,34.11176471,185.4352941,25.6,41.7,243.6,291.3,256.7,148.8,16.97647059,32,28,30,30,30,34,311,302,353,397,397,397,641,654,609,568,569,560,351,233,143,103,76,60,48,45,38,35,34,43,62,63,64,64,66,68,349,227,121,88,47,25
2004,MOHA,26.5,228.6,139.3,106.3,147.3,70.9,87.60588235,14.95,20.12,22.58,25.12,23.41,19.02941176,11.78941176,7,15,15,12,9,6,8.176470588,5,12,8,7,6,5,5.588235294,113.5,49.5,0.8,0.8,0.6,43.59411765,189.6,18.7,104.8,128.3,211.3,157.9,82.31764706,5,32,28,30,30,30,34,311,302,353,397,397,397,641,654,609,568,569,560,351,233,143,103,76,60,48,45,38,35,34,43,62,63,64,64,66,68,349,227,121,88,47,25
2005,MOHA,79.3,113.4,176.6,87.4,273.9,103.9,76.76470588,14.89,19.18,25.49,26.04470588,26.3,22.85,11.66882353,9,9,12,5,12,13,8.470588235,6,2,8,5,8,5,5.117647059,128.4,44.4,0,0.064705882,0,15.8,188.1941176,25,68.9,200.4,236.2352941,247.1,151.4,26.5,32,28,30,30,30,34,311,302,353,397,397,397,641,654,609,568,569,560,351,233,143,103,76,60,48,45,38,35,34,43,62,63,64,64,66,68,349,227,121,88,47,25
2006,MOHA,120.7,54.3,63.9,92.7,277.7,96.37647059,82.72352941,16.38,19.69,25.56,28.18,27.19,20.84529412,11.14058824,10,10,12,7,13,6,8.529411765,6,3,5,5,6,3,5.470588235,86.1,44.8,0,0,0,27.24117647,201.8176471,27.4,84.1,202.3,305.3,274.6,60.4,25.07647059,32,28,30,30,30,34,311,302,353,397,397,397,641,654,609,568,569,560,351,233,143,103,76,60,48,45,38,35,34,43,62,63,64,64,66,68,349,227,121,88,47,25
2008,MOHA,106.1,167,140.3,148.8,39.7,207.8,93.2,11.30352941,17.42,23.65,25.52,24.54,19.91352941,11.01235294,11,13,11,8,6,12,8,8,9,8,7,3,8,5.705882353,217.7882353,67.2,0,0,0,33.34705882,207.2588235,10.64705882,38.8,159.6,222.8,167.6,60.49411765,16.91764706,32,28,30,30,30,34,311,302,353,397,397,397,641,654,609,568,569,560,351,233,143,103,76,60,48,45,38,35,34,43,62,63,64,64,66,68,349,227,121,88,47,25
2006,WIEG,112.2,124.5,122.8,98.8,188.8,75.77647059,91.51764706,11.24,14.96,19.5,23.22,21.36,18.00647059,10.20647059,9,14,11,13,9,13,8.823529412,7,14,7,7,8,5,6.411764706,205.5,138.2,23.4,1.1,1.4,58.05294118,274.0764706,0.5,33.7,58.4,152.5,95.1,7.2,7.864705882,8,8,9,10,40,80,325,320,334,363,377,321,548,552,547,516,428,387,1294,1087,742,729,662,611,126,128,119,121,195,292,63,63,63,62,64,70,435,688,339,286,294,236
2000,IAPA,50.1,103.9,183.7,81.8,56.2,56.9,48.8,9.39,15.69529412,20.80117647,22.62411765,22.45941176,17.23882353,11.88352941,9,14,16,6,6,6,11,5,9,14,4,5,4,5,252.8235294,104.4764706,13.37647059,2.429411765,4.817647059,78.17647059,205.9,4.470588235,23.72941176,86.5,132.2411765,131.1823529,55.81176471,13.55294118,14.27247956,13.9373297,13.93051771,16.05040872,24.30517711,34.18256131,288.0217984,290.972752,305.8978202,319.5490463,316.2152589,288.8964578,487.5762943,485.9918256,476.1103542,465.5776567,448.5517711,431.5435967,454.619891,233.9114441,172.1553134,122.5776567,96.49182561,79.87874659,224.3719346,223.0122616,217.9564033,214.866485,235.1716621,279.5762943,63.57629428,63.73978202,63.69209809,64.5599455,67.00953678,70.52179837,384.1839237,223.3501362,153.9768392,102.3841962,59.81743869,44.06811989
2001,IAPA,71.4,178.9,70.7,135.2,61.5,152,50.9,10.70764706,15.37882353,19.89764706,22.98647059,21.51411765,18.37882353,11.48823529,12,18,9,11,7,7,7,8,14,5,6,4,4,5,228.2058824,109.2823529,26.97058824,4.135294118,16.94705882,62.58235294,211.5823529,7.476470588,20.61764706,72.88235294,144.7882353,113.6294118,50.36470588,11.25882353,14.27247956,13.9373297,13.93051771,16.05040872,24.30517711,34.18256131,288.0217984,290.972752,305.8978202,319.5490463,316.2152589,288.8964578,487.5762943,485.9918256,476.1103542,465.5776567,448.5517711,431.5435967,454.619891,233.9114441,172.1553134,122.5776567,96.49182561,79.87874659,224.3719346,223.0122616,217.9564033,214.866485,235.1716621,279.5762943,63.57629428,63.73978202,63.69209809,64.5599455,67.00953678,70.52179837,384.1839237,223.3501362,153.9768392,102.3841962,59.81743869,44.06811989
2002,IAPA,38.7,40.9,129.1,100.8,154.1,28.9,67.6,9.763529412,16.05941176,21.41764706,23.24411765,22.45235294,17.80058824,11.31117647,6,5,8,8,11,7,12,3,5,7,7,10,4,6,260.0470588,113.1941176,13.14705882,2.576470588,7.247058824,65.67647059,206.3294118,7.805882353,43.59411765,113.3294118,151.7176471,129.4117647,60.61176471,14.66470588,14.27247956,13.9373297,13.93051771,16.05040872,24.30517711,34.18256131,288.0217984,290.972752,305.8978202,319.5490463,316.2152589,288.8964578,487.5762943,485.9918256,476.1103542,465.5776567,448.5517711,431.5435967,454.619891,233.9114441,172.1553134,122.5776567,96.49182561,79.87874659,224.3719346,223.0122616,217.9564033,214.866485,235.1716621,279.5762943,63.57629428,63.73978202,63.69209809,64.5599455,67.00953678,70.52179837,384.1839237,223.3501362,153.9768392,102.3841962,59.81743869,44.06811989
2003,WIPO,51.1,96.3,84.8,82.5,45.5,61.21176471,47.58235294,7.02,12.83,18.49,21.33,22,17.14764706,9.824117647,7,10,10,10,3,7.529411765,6.882352941,3,10,10,9,3,4.470588235,5.058823529,333.2,171.8,38.4,4.5,4.4,70.44117647,260.6058824,2,1.1,43,97.5,117.9,35,6.188235294,14.27247956,13.9373297,13.93051771,16.05040872,24.30517711,34.18256131,288.0217984,290.972752,305.8978202,319.5490463,316.2152589,288.8964578,487.5762943,485.9918256,476.1103542,465.5776567,448.5517711,431.5435967,454.619891,233.9114441,172.1553134,122.5776567,96.49182561,79.87874659,224.3719346,223.0122616,217.9564033,214.866485,235.1716621,279.5762943,63.57629428,63.73978202,63.69209809,64.5599455,67.00953678,70.52179837,384.1839237,223.3501362,153.9768392,102.3841962,59.81743869,44.06811989
2004,WIPO,47.7,157.7,118.6352941,110,77.64117647,8.4,74.21764706,8.46,13.37,18.34,20.26,17.84,17.91,9.977058824,6,14,11.41176471,10,8.647058824,1,9,5,10,7.705882353,9,5.352941176,1,8,297.6,157.4,41.2,14.1,55.6,52.2,275.2294118,1.5,3.6,41.4,73.8,40.3,39.4,0,14.27247956,13.9373297,13.93051771,16.05040872,24.30517711,34.18256131,288.0217984,290.972752,305.8978202,319.5490463,316.2152589,288.8964578,487.5762943,485.9918256,476.1103542,465.5776567,448.5517711,431.5435967,454.619891,233.9114441,172.1553134,122.5776567,96.49182561,79.87874659,224.3719346,223.0122616,217.9564033,214.866485,235.1716621,279.5762943,63.57629428,63.73978202,63.69209809,64.5599455,67.00953678,70.52179837,384.1839237,223.3501362,153.9768392,102.3841962,59.81743869,44.06811989
