,projects_x,ProjectID,shorthand_x,YEAR_x,LOC,LONGITUDE,LATITUDE,LINE,ERM,MST,PHT,RTLP,STLP,TWT,YLD_BE,EHT,SET,CLUSTER,LINE_UNIQUE_ID,Unnamed: 0_x,projects_y,projectID,shorthand_y,Unnamed: 0_y,MAB_PROJECT_ID,YEAR_y,GERMPLASM_ID,GENERATION_NAME,HG,FILE_LIST,CROSS,GERMPLASM_ID_TESTER
0,project209265_year2001.Rdata,209265,C1.1,2001,NEDA,-96.41,42.42,191,,19.7,89.0,,,57.3,156.052,39.0,0303300303Z0,1,C1.1.191,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
1,project209265_year2001.Rdata,209265,C1.1,2001,NEDA,-96.41,42.42,193,,20.2,85.0,,,59.0,150.685,36.0,0303300303Z0,1,C1.1.193,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
2,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,62,102.066,19.1,83.0,,,55.9,157.218,35.0,0303300303Z0,1,C1.1.62,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
3,project209265_year2001.Rdata,209265,C1.1,2001,IADA,-94.06,42.26,160,104.683,22.8,,0.0,0.0,58.4,155.477,,0303300303Z0,1,C1.1.160,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
4,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,61,102.43,19.3,80.0,,,59.0,135.242,35.0,0303300303Z0,1,C1.1.61,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
5,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,165,106.069,21.3,83.0,,,56.4,152.943,40.0,0303300303Z0,1,C1.1.165,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
6,project209265_year2001.Rdata,209265,C1.1,2001,NEDA,-96.41,42.42,20,,18.8,95.0,,,60.4,145.024,41.0,0303300303Z0,1,C1.1.20,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
7,project209265_year2001.Rdata,209265,C1.1,2001,IAFO,-95.15,43.24,107,103.04,21.2,,75.676,0.0,56.0,92.998,,0303300303Z0,1,C1.1.107,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
8,project209265_year2001.Rdata,209265,C1.1,2001,MNOW,-93.22,44.01,148,,21.6,,0.0,0.0,51.1,173.48,,0303300303Z0,1,C1.1.148,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
9,project209265_year2001.Rdata,209265,C1.1,2001,IADA,-94.06,42.26,114,105.851,24.2,,0.0,0.0,57.6,160.52,,0303300303Z0,1,C1.1.114,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
10,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,158,104.249,20.3,88.0,,,55.2,147.988,38.0,0303300303Z0,1,C1.1.158,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
11,project209265_year2001.Rdata,209265,C1.1,2001,IADA,-94.06,42.26,115,105.517,23.8,,2.857,0.0,56.4,144.242,,0303300303Z0,1,C1.1.115,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
12,project209265_year2001.Rdata,209265,C1.1,2001,IADA,-94.06,42.26,118,104.016,22.0,,2.703,0.0,57.1,147.65,,0303300303Z0,1,C1.1.118,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
13,project209265_year2001.Rdata,209265,C1.1,2001,IAPR,-95.62,43.08,159,101.338,18.7,82.0,,,58.2,140.725,43.0,0303300303Z0,1,C1.1.159,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
14,project209265_year2001.Rdata,209265,C1.1,2001,IASP,-95.14,43.14,20,,17.9,,29.73,,56.7,142.11,,0303300303Z0,1,C1.1.20,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
15,project209265_year2001.Rdata,209265,C1.1,2001,NEDA,-96.41,42.42,25,,,94.0,,,57.9,143.704,33.0,0303300303Z0,1,C1.1.25,1,project209265_year2001.Rdata,209265,C1.1,1311,209265,2001,1589589,F2,Cluster1,project209265_year2001.Rdata,1589589/200761,1376340.0
